age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp_var_rate;cons_price_idx;cons_conf_idx;euribor3m;nr_employed;y;y_numeric
29;admin.;married;basic.9y;no;no;no;cellular;may;thu;113;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.327;5099.1;no;0
38;technician;married;professional.course;no;no;yes;cellular;mar;fri;195;1;999;0;nonexistent;-1.8;92.84299999999999;-50.0;1.726;5099.1;yes;1
41;admin.;married;university.degree;no;no;no;cellular;apr;tue;463;1;999;0;nonexistent;-1.8;93.075;-47.1;1.453;5099.1;yes;1
41;blue-collar;married;basic.6y;no;no;no;cellular;may;tue;131;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.291;5099.1;no;0
46;admin.;single;university.degree;no;no;no;cellular;jun;tue;119;1;999;0;nonexistent;-2.9;92.963;-40.8;1.252;5076.2;no;0
32;technician;single;unknown;no;yes;no;cellular;jul;tue;121;3;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.961;5228.1;no;0
50;housemaid;single;unknown;no;no;no;telephone;jun;mon;741;4;999;0;nonexistent;1.4;94.465;-41.8;4.96;5228.1;yes;1
34;admin.;married;university.degree;no;yes;no;telephone;jun;fri;31;6;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;no;0
39;admin.;married;basic.9y;no;yes;no;telephone;may;fri;150;2;999;0;nonexistent;1.1;93.994;-36.4;4.855;5191.0;no;0
46;blue-collar;married;basic.6y;no;no;no;telephone;may;fri;230;1;999;0;nonexistent;1.1;93.994;-36.4;4.859;5191.0;no;0
50;entrepreneur;married;university.degree;unknown;yes;no;cellular;nov;mon;77;1;3;1;success;-0.1;93.2;-42.0;4.191;5195.8;no;0
44;entrepreneur;married;high.school;no;no;no;cellular;nov;wed;289;1;999;0;nonexistent;-0.1;93.2;-42.0;4.12;5195.8;no;0
39;housemaid;married;basic.4y;no;yes;no;telephone;may;tue;54;2;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0;no;0
38;technician;married;high.school;no;no;no;cellular;aug;tue;134;2;999;0;nonexistent;1.4;93.444;-36.1;4.968;5228.1;no;0
27;admin.;single;unknown;no;yes;no;telephone;jul;tue;876;1;999;0;nonexistent;-2.9;92.469;-33.6;1.044;5076.2;yes;1
54;technician;divorced;professional.course;no;yes;yes;cellular;jul;tue;797;14;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.961;5228.1;no;0
38;blue-collar;single;basic.9y;no;yes;no;telephone;may;tue;174;1;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no;0
29;admin.;single;university.degree;no;yes;no;cellular;aug;wed;88;2;999;0;nonexistent;1.4;93.444;-36.1;4.9639999999999995;5228.1;no;0
37;admin.;divorced;high.school;unknown;no;no;telephone;may;fri;99;8;999;0;nonexistent;1.1;93.994;-36.4;4.864;5191.0;no;0
32;services;single;high.school;no;yes;no;telephone;jun;fri;23;11;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;no;0
36;services;single;high.school;no;yes;no;cellular;jul;fri;249;2;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.963;5228.1;no;0
48;unemployed;married;high.school;no;yes;no;cellular;apr;fri;370;3;999;0;nonexistent;-1.8;93.075;-47.1;1.405;5099.1;no;0
21;blue-collar;married;basic.9y;no;no;yes;cellular;jul;wed;89;6;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.963;5228.1;no;0
36;admin.;single;university.degree;no;no;yes;cellular;nov;tue;187;1;999;0;nonexistent;-3.4;92.649;-30.1;0.72;5017.5;yes;1
47;services;divorced;high.school;no;yes;no;telephone;may;mon;289;5;999;0;nonexistent;1.1;93.994;-36.4;4.857;5191.0;no;0
49;technician;married;professional.course;unknown;yes;no;telephone;nov;mon;27;1;999;0;nonexistent;-0.1;93.2;-42.0;4.191;5195.8;no;0
37;technician;married;basic.6y;no;yes;no;telephone;jun;fri;27;1;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;no;0
46;admin.;divorced;university.degree;no;yes;no;telephone;jun;fri;14;12;999;0;nonexistent;1.4;94.465;-41.8;4.959;5228.1;no;0
74;retired;married;high.school;no;no;no;cellular;aug;thu;135;1;999;0;nonexistent;-2.9;92.20100000000001;-31.4;0.883;5076.2;no;0
30;admin.;single;university.degree;no;no;no;telephone;may;wed;25;1;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0;no;0
31;blue-collar;single;basic.9y;no;no;no;telephone;oct;tue;114;1;999;0;nonexistent;-1.1;94.601;-49.5;0.982;4963.6;no;0
43;blue-collar;married;basic.6y;no;yes;no;cellular;jul;tue;220;2;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;no;0
41;entrepreneur;divorced;unknown;no;no;no;cellular;may;fri;242;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.25;5099.1;no;0
44;entrepreneur;single;university.degree;no;no;no;telephone;jun;thu;75;1;999;0;nonexistent;1.4;94.465;-41.8;4.8660000000000005;5228.1;no;0
27;admin.;married;university.degree;no;yes;no;cellular;jul;fri;226;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;no;0
47;admin.;married;university.degree;no;no;no;telephone;jul;wed;76;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;no;0
46;technician;single;professional.course;no;no;no;cellular;aug;thu;128;1;999;0;nonexistent;1.4;93.444;-36.1;4.968;5228.1;no;0
33;admin.;single;university.degree;no;yes;yes;cellular;aug;wed;102;1;999;0;nonexistent;1.4;93.444;-36.1;4.967;5228.1;no;0
37;technician;single;professional.course;no;yes;no;cellular;aug;mon;44;1;999;0;nonexistent;1.4;93.444;-36.1;4.97;5228.1;no;0
47;blue-collar;married;basic.6y;no;yes;yes;cellular;jul;mon;298;3;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;no;0
56;unemployed;married;professional.course;no;no;no;cellular;sep;fri;1551;1;999;2;failure;-3.4;92.37899999999999;-29.8;0.762;5017.5;no;0
65;admin.;divorced;university.degree;no;no;no;cellular;nov;fri;142;2;999;0;nonexistent;-3.4;92.649;-30.1;0.718;5017.5;no;0
49;services;divorced;high.school;no;no;no;telephone;jun;thu;138;2;999;0;nonexistent;1.4;94.465;-41.8;4.955;5228.1;no;0
39;admin.;married;university.degree;no;no;no;telephone;jul;mon;733;3;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.96;5228.1;yes;1
27;technician;single;university.degree;no;no;no;cellular;may;thu;68;1;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.27;5099.1;no;0
76;retired;married;basic.4y;no;yes;no;cellular;aug;fri;345;2;999;0;nonexistent;-2.9;92.20100000000001;-31.4;0.8809999999999999;5076.2;yes;1
42;blue-collar;married;basic.9y;unknown;no;no;telephone;jun;tue;41;1;999;0;nonexistent;1.4;94.465;-41.8;4.961;5228.1;no;0
46;student;single;unknown;no;yes;no;telephone;jul;fri;279;4;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;yes;1
50;entrepreneur;married;basic.9y;no;yes;yes;telephone;may;wed;161;1;999;0;nonexistent;1.1;93.994;-36.4;4.856;5191.0;no;0
30;technician;single;professional.course;no;yes;no;cellular;jul;tue;154;1;999;0;nonexistent;1.4;93.91799999999999;-42.7;4.962;5228.1;no;0
27;student;single;unknown;unknown;yes;no;cellular;apr;thu;35;1;999;0;nonexistent;-1.8;93.075;-47.1;1.365;5099.1;no;0
31;entrepreneur;single;high.school;no;no;no;cellular;nov;thu;189;1;999;0;nonexistent;-0.1;93.2;-42.0;4.0760000000000005;5195.8;no;0
34;technician;single;professional.course;no;no;no;telephone;jun;fri;392;2;999;0;nonexistent;1.4;94.465;-41.8;4.967;5228.1;no;0
24;student;single;high.school;unknown;no;no;cellular;jun;mon;190;1;999;1;failure;-2.9;92.963;-40.8;1.266;5076.2;no;0
47;blue-collar;divorced;basic.4y;no;yes;no;cellular;aug;mon;149;7;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1;no;0
41;admin.;married;high.school;no;no;no;telephone;jun;mon;56;3;999;0;nonexistent;1.4;94.465;-41.8;4.865;5228.1;no;0
68;retired;married;professional.course;no;unknown;unknown;cellular;may;thu;237;7;999;2;failure;-1.8;93.876;-40.0;0.6920000000000001;5008.7;no;0
39;technician;single;professional.course;no;no;no;cellular;may;wed;143;1;999;1;failure;-1.8;92.89299999999999;-46.2;1.281;5099.1;no;0
40;technician;married;university.degree;unknown;yes;no;cellular;aug;mon;392;4;999;0;nonexistent;1.4;93.444;-36.1;4.965;5228.1;no;0
27;student;single;university.degree;unknown;no;no;cellular;may;mon;489;2;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.2990000000000002;5099.1;no;0
31;admin.;single;high.school;no;yes;no;cellular;nov;wed;242;1;999;0;nonexistent;-0.1;93.2;-42.0;4.12;5195.8;no;0
28;blue-collar;single;basic.6y;no;no;no;cellular;may;wed;863;3;999;0;nonexistent;-1.8;92.89299999999999;-46.2;1.281;5099.1;yes;1
